"repo","repo_url","stars","path","raw_url","version_hint","matched_query"
"eclipse-tractusx/sldt-semantic-hub","https://github.com/eclipse-tractusx/sldt-semantic-hub","8","backend/src/main/resources/static/semantic-hub-openapi.yaml","https://raw.githubusercontent.com/eclipse-tractusx/sldt-semantic-hub/main/backend/src/main/resources/static/semantic-hub-openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"ecosyste-ms/home","https://github.com/ecosyste-ms/home","8","openapi.yml","https://raw.githubusercontent.com/ecosyste-ms/home/main/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"ecosyste-ms/timeline","https://github.com/ecosyste-ms/timeline","8","openapi/api/v1/openapi.yaml","https://raw.githubusercontent.com/ecosyste-ms/timeline/main/openapi/api/v1/openapi.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"eiffel-community/eiffel-remrem-generate","https://github.com/eiffel-community/eiffel-remrem-generate","8","openapi/src/main/resources/openapi-spec.yaml","https://raw.githubusercontent.com/eiffel-community/eiffel-remrem-generate/master/openapi/src/main/resources/openapi-spec.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"go-pantheon/roma","https://github.com/go-pantheon/roma","8","gen/api/client/module/modules.swagger.json","https://raw.githubusercontent.com/go-pantheon/roma/main/gen/api/client/module/modules.swagger.json","swagger-2.0","filename:swagger.json swagger"
"i-coder-robot/go-grpc-http-rest-microservice-todo","https://github.com/i-coder-robot/go-grpc-http-rest-microservice-todo","8","api/swagger/v1/todo-service.swagger.json","https://raw.githubusercontent.com/i-coder-robot/go-grpc-http-rest-microservice-todo/master/api/swagger/v1/todo-service.swagger.json","swagger-2.0","filename:swagger.json swagger"
"iterize/tenta","https://github.com/iterize/tenta","8","server/openapi.yml","https://raw.githubusercontent.com/iterize/tenta/main/server/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"laszukdawid/anthropic-openapi-spec","https://github.com/laszukdawid/anthropic-openapi-spec","8","openapi/messages.yaml","https://raw.githubusercontent.com/laszukdawid/anthropic-openapi-spec/main/openapi/messages.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"MCPRUNNER/mssqlMCP","https://github.com/MCPRUNNER/mssqlMCP","8","openapi.json","https://raw.githubusercontent.com/MCPRUNNER/mssqlMCP/main/openapi.json","openapi-3","filename:openapi.json openapi"
"monarc-project/stats-service","https://github.com/monarc-project/stats-service","8","docs/swagger.json","https://raw.githubusercontent.com/monarc-project/stats-service/master/docs/swagger.json","swagger-2.0","filename:swagger.json swagger"
"open-mpic/open-mpic-specification","https://github.com/open-mpic/open-mpic-specification","8","openapi.yaml","https://raw.githubusercontent.com/open-mpic/open-mpic-specification/main/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"shinbunbun/sns","https://github.com/shinbunbun/sns","8","docs/openapi.yml","https://raw.githubusercontent.com/shinbunbun/sns/master/docs/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"sns45/auth-gateway","https://github.com/sns45/auth-gateway","8","openapi.yaml","https://raw.githubusercontent.com/sns45/auth-gateway/main/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"sns45/auth-gateway","https://github.com/sns45/auth-gateway","8","public/openapi.yaml","https://raw.githubusercontent.com/sns45/auth-gateway/main/public/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"sponger94/Athena","https://github.com/sponger94/Athena","8","src/Services/Pomodoro/Pomodoro.API/api-docs/v1/swagger.json","https://raw.githubusercontent.com/sponger94/Athena/develop/src/Services/Pomodoro/Pomodoro.API/api-docs/v1/swagger.json","swagger-2.0","filename:swagger.json swagger"
"stevereiner/python-alfresco-api","https://github.com/stevereiner/python-alfresco-api","8","openapi/openapi3/alfresco-model.yaml","https://raw.githubusercontent.com/stevereiner/python-alfresco-api/master/openapi/openapi3/alfresco-model.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"theQRL/qrysm","https://github.com/theQRL/qrysm","8","proto/qrysm/v1alpha1/swagger.swagger.json","https://raw.githubusercontent.com/theQRL/qrysm/main/proto/qrysm/v1alpha1/swagger.swagger.json","swagger-2.0","filename:swagger.json swagger"
"ykhirao/qiita","https://github.com/ykhirao/qiita","8","openapi/openapi.yaml","https://raw.githubusercontent.com/ykhirao/qiita/master/openapi/openapi.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"AI-Empower-Labs/Studio","https://github.com/AI-Empower-Labs/Studio","7","clients/csharp/api/openapi.yaml","https://raw.githubusercontent.com/AI-Empower-Labs/Studio/main/clients/csharp/api/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"ansforge/SAMU-Hub-Modeles","https://github.com/ansforge/SAMU-Hub-Modeles","7","generator/input/GEO-REQ.openapi.yaml","https://raw.githubusercontent.com/ansforge/SAMU-Hub-Modeles/main/generator/input/GEO-REQ.openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"ansforge/SAMU-Hub-Modeles","https://github.com/ansforge/SAMU-Hub-Modeles","7","generator/input/TECHNICAL_SHORT.openapi.yaml","https://raw.githubusercontent.com/ansforge/SAMU-Hub-Modeles/main/generator/input/TECHNICAL_SHORT.openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"ARunni/ConnectHub_Professional_Network_GO-Gin_FrameWork_Clean_Arch_Microservices","https://github.com/ARunni/ConnectHub_Professional_Network_GO-Gin_FrameWork_Clean_Arch_Microservices","7","CONNECT-HUB-Api-Gateway/cmd/docs/swagger.json","https://raw.githubusercontent.com/ARunni/ConnectHub_Professional_Network_GO-Gin_FrameWork_Clean_Arch_Microservices/main/CONNECT-HUB-Api-Gateway/cmd/docs/swagger.json","swagger-2.0","filename:swagger.json swagger"
"ccrp-dev/ccrp","https://github.com/ccrp-dev/ccrp","7","spec/openapi.yaml","https://raw.githubusercontent.com/ccrp-dev/ccrp/main/spec/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"dcos/client-go","https://github.com/dcos/client-go","7","openapi/dcos.yaml","https://raw.githubusercontent.com/dcos/client-go/master/openapi/dcos.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"Dev-HideyukiTakahashi/dental-care","https://github.com/Dev-HideyukiTakahashi/dental-care","7","back-end/src/main/resources/static/openapi.yaml","https://raw.githubusercontent.com/Dev-HideyukiTakahashi/dental-care/main/back-end/src/main/resources/static/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"DLHub-Argonne/dlhub_service","https://github.com/DLHub-Argonne/dlhub_service","7","openapi/api.yaml","https://raw.githubusercontent.com/DLHub-Argonne/dlhub_service/master/openapi/api.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"eclipse-basyx/basyx-typescript-sdk","https://github.com/eclipse-basyx/basyx-typescript-sdk","7","openapi/aasxfileserver.yaml","https://raw.githubusercontent.com/eclipse-basyx/basyx-typescript-sdk/main/openapi/aasxfileserver.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"eclipse-basyx/basyx-typescript-sdk","https://github.com/eclipse-basyx/basyx-typescript-sdk","7","openapi/smrepository.yaml","https://raw.githubusercontent.com/eclipse-basyx/basyx-typescript-sdk/main/openapi/smrepository.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"ecosyste-ms/package-manager-openapi-schemas","https://github.com/ecosyste-ms/package-manager-openapi-schemas","7","openapi/deno.yaml","https://raw.githubusercontent.com/ecosyste-ms/package-manager-openapi-schemas/main/openapi/deno.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"ecosyste-ms/package-manager-openapi-schemas","https://github.com/ecosyste-ms/package-manager-openapi-schemas","7","openapi/docker.yaml","https://raw.githubusercontent.com/ecosyste-ms/package-manager-openapi-schemas/main/openapi/docker.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"ecosyste-ms/package-manager-openapi-schemas","https://github.com/ecosyste-ms/package-manager-openapi-schemas","7","openapi/hex.yaml","https://raw.githubusercontent.com/ecosyste-ms/package-manager-openapi-schemas/main/openapi/hex.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
